,itr,sigma,Fusion_M,Fusion_R
0,0.0,0.0,0.963,0.9269269269269269
1,0.0,0.05,0.915,0.8418418418418419
2,0.0,0.1,0.939,0.8808808808808809
3,0.0,0.15000000000000002,0.909,0.8308308308308309
4,0.0,0.2,0.918,0.8448448448448449
5,0.0,0.25,0.838,0.7087087087087087
6,0.0,0.30000000000000004,0.848,0.7307307307307307
7,0.0,0.35000000000000003,0.806,0.6696696696696697
8,0.0,0.4,0.791,0.6466466466466466
9,0.0,0.45,0.725,0.5545545545545546
10,0.0,0.5,0.672,0.46646646646646645
11,0.0,0.55,0.586,0.4004004004004004
12,0.0,0.6000000000000001,0.523,0.3233233233233233
13,0.0,0.65,0.412,0.26326326326326327
14,0.0,0.7000000000000001,0.406,0.26426426426426425
15,0.0,0.75,0.336,0.2172172172172172
16,0.0,0.8,0.305,0.1931931931931932
17,0.0,0.8500000000000001,0.248,0.12012012012012012
18,0.0,0.9,0.306,0.21121121121121122
19,0.0,0.9500000000000001,0.326,0.2022022022022022
20,0.0,1.0,0.278,0.16516516516516516
21,1.0,0.0,0.929,0.8628628628628628
22,1.0,0.05,0.966,0.934934934934935
23,1.0,0.1,0.924,0.8538538538538538
24,1.0,0.15000000000000002,0.89,0.7977977977977978
25,1.0,0.2,0.885,0.7857857857857858
26,1.0,0.25,0.8,0.6646646646646647
27,1.0,0.30000000000000004,0.788,0.6366366366366366
28,1.0,0.35000000000000003,0.815,0.6756756756756757
29,1.0,0.4,0.71,0.5295295295295295
30,1.0,0.45,0.701,0.5325325325325325
31,1.0,0.5,0.717,0.5435435435435435
32,1.0,0.55,0.674,0.4854854854854855
33,1.0,0.6000000000000001,0.456,0.27427427427427425
34,1.0,0.65,0.439,0.2772772772772773
35,1.0,0.7000000000000001,0.346,0.23823823823823823
36,1.0,0.75,0.372,0.22322322322322322
37,1.0,0.8,0.323,0.2092092092092092
38,1.0,0.8500000000000001,0.278,0.1881881881881882
39,1.0,0.9,0.323,0.2032032032032032
40,1.0,0.9500000000000001,0.284,0.13013013013013014
41,1.0,1.0,0.327,0.2072072072072072
42,2.0,0.0,0.949,0.8988988988988988
43,2.0,0.05,0.926,0.8608608608608609
44,2.0,0.1,0.895,0.8058058058058059
45,2.0,0.15000000000000002,0.942,0.8898898898898899
46,2.0,0.2,0.883,0.7897897897897898
47,2.0,0.25,0.859,0.7477477477477478
48,2.0,0.30000000000000004,0.814,0.6746746746746747
49,2.0,0.35000000000000003,0.841,0.7147147147147147
50,2.0,0.4,0.801,0.6656656656656657
51,2.0,0.45,0.746,0.5765765765765766
52,2.0,0.5,0.672,0.4724724724724725
53,2.0,0.55,0.498,0.3233233233233233
54,2.0,0.6000000000000001,0.576,0.37237237237237236
55,2.0,0.65,0.442,0.2732732732732733
56,2.0,0.7000000000000001,0.357,0.19519519519519518
57,2.0,0.75,0.386,0.26326326326326327
58,2.0,0.8,0.332,0.22122122122122123
59,2.0,0.8500000000000001,0.274,0.15715715715715717
60,2.0,0.9,0.274,0.16816816816816818
61,2.0,0.9500000000000001,0.267,0.14714714714714713
62,2.0,1.0,0.263,0.14914914914914915
63,3.0,0.0,0.922,0.8518518518518519
64,3.0,0.05,0.955,0.9129129129129129
65,3.0,0.1,0.936,0.8758758758758759
66,3.0,0.15000000000000002,0.922,0.8548548548548549
67,3.0,0.2,0.884,0.7897897897897898
68,3.0,0.25,0.861,0.7467467467467468
69,3.0,0.30000000000000004,0.809,0.6786786786786787
70,3.0,0.35000000000000003,0.78,0.6256256256256256
71,3.0,0.4,0.651,0.47147147147147145
72,3.0,0.45,0.753,0.5845845845845846
73,3.0,0.5,0.617,0.4264264264264264
74,3.0,0.55,0.54,0.3533533533533533
75,3.0,0.6000000000000001,0.473,0.2902902902902903
76,3.0,0.65,0.492,0.36536536536536535
77,3.0,0.7000000000000001,0.435,0.2872872872872873
78,3.0,0.75,0.262,0.15915915915915915
79,3.0,0.8,0.348,0.23423423423423423
80,3.0,0.8500000000000001,0.282,0.16616616616616617
81,3.0,0.9,0.227,0.13713713713713713
82,3.0,0.9500000000000001,0.286,0.1871871871871872
83,3.0,1.0,0.239,0.13213213213213212
84,4.0,0.0,0.952,0.9059059059059059
85,4.0,0.05,0.944,0.8908908908908909
86,4.0,0.1,0.934,0.8718718718718719
87,4.0,0.15000000000000002,0.927,0.8638638638638638
88,4.0,0.2,0.89,0.7967967967967968
89,4.0,0.25,0.772,0.6096096096096096
90,4.0,0.30000000000000004,0.849,0.7347347347347347
91,4.0,0.35000000000000003,0.794,0.6406406406406406
92,4.0,0.4,0.787,0.6436436436436437
93,4.0,0.45,0.752,0.6036036036036037
94,4.0,0.5,0.721,0.5515515515515516
95,4.0,0.55,0.611,0.4034034034034034
96,4.0,0.6000000000000001,0.551,0.3433433433433433
97,4.0,0.65,0.465,0.2902902902902903
98,4.0,0.7000000000000001,0.393,0.2552552552552553
99,4.0,0.75,0.413,0.2732732732732733
100,4.0,0.8,0.382,0.26926926926926925
101,4.0,0.8500000000000001,0.269,0.16716716716716717
102,4.0,0.9,0.289,0.18118118118118118
103,4.0,0.9500000000000001,0.272,0.15115115115115116
104,4.0,1.0,0.273,0.17117117117117117
105,5.0,0.0,0.952,0.9059059059059059
106,5.0,0.05,0.953,0.908908908908909
107,5.0,0.1,0.941,0.8848848848848849
108,5.0,0.15000000000000002,0.879,0.7767767767767768
109,5.0,0.2,0.886,0.7907907907907908
110,5.0,0.25,0.832,0.7087087087087087
111,5.0,0.30000000000000004,0.834,0.7087087087087087
112,5.0,0.35000000000000003,0.794,0.6406406406406406
113,5.0,0.4,0.814,0.6786786786786787
114,5.0,0.45,0.736,0.5695695695695696
115,5.0,0.5,0.73,0.5415415415415415
116,5.0,0.55,0.548,0.33933933933933935
117,5.0,0.6000000000000001,0.462,0.27427427427427425
118,5.0,0.65,0.513,0.36536536536536535
119,5.0,0.7000000000000001,0.425,0.28928928928928926
120,5.0,0.75,0.292,0.16516516516516516
121,5.0,0.8,0.277,0.1841841841841842
122,5.0,0.8500000000000001,0.262,0.16716716716716717
123,5.0,0.9,0.251,0.13313313313313313
124,5.0,0.9500000000000001,0.259,0.14314314314314314
125,5.0,1.0,0.205,0.11811811811811812
126,6.0,0.0,0.935,0.8738738738738738
127,6.0,0.05,0.948,0.8998998998998999
128,6.0,0.1,0.952,0.9099099099099099
129,6.0,0.15000000000000002,0.904,0.8238238238238238
130,6.0,0.2,0.89,0.8008008008008008
131,6.0,0.25,0.807,0.6666666666666666
132,6.0,0.30000000000000004,0.807,0.6676676676676677
133,6.0,0.35000000000000003,0.823,0.6916916916916916
134,6.0,0.4,0.79,0.6446446446446447
135,6.0,0.45,0.76,0.6016016016016016
136,6.0,0.5,0.71,0.5325325325325325
137,6.0,0.55,0.652,0.45245245245245247
138,6.0,0.6000000000000001,0.579,0.3833833833833834
139,6.0,0.65,0.465,0.2932932932932933
140,6.0,0.7000000000000001,0.436,0.2992992992992993
141,6.0,0.75,0.301,0.17217217217217218
142,6.0,0.8,0.263,0.14514514514514515
143,6.0,0.8500000000000001,0.318,0.2012012012012012
144,6.0,0.9,0.319,0.2022022022022022
145,6.0,0.9500000000000001,0.291,0.17917917917917917
146,6.0,1.0,0.318,0.1941941941941942
147,7.0,0.0,0.971,0.9429429429429429
148,7.0,0.05,0.953,0.9079079079079079
149,7.0,0.1,0.945,0.8938938938938938
150,7.0,0.15000000000000002,0.936,0.8778778778778779
151,7.0,0.2,0.865,0.7567567567567568
152,7.0,0.25,0.831,0.6986986986986987
153,7.0,0.30000000000000004,0.83,0.6966966966966966
154,7.0,0.35000000000000003,0.73,0.5675675675675675
155,7.0,0.4,0.778,0.6186186186186187
156,7.0,0.45,0.761,0.6106106106106106
157,7.0,0.5,0.669,0.4754754754754755
158,7.0,0.55,0.587,0.3833833833833834
159,7.0,0.6000000000000001,0.551,0.35735735735735735
160,7.0,0.65,0.476,0.2872872872872873
161,7.0,0.7000000000000001,0.363,0.24824824824824826
162,7.0,0.75,0.393,0.27127127127127126
163,7.0,0.8,0.295,0.1831831831831832
164,7.0,0.8500000000000001,0.318,0.2092092092092092
165,7.0,0.9,0.384,0.2602602602602603
166,7.0,0.9500000000000001,0.254,0.14114114114114115
167,7.0,1.0,0.241,0.11411411411411411
168,8.0,0.0,0.938,0.8828828828828829
169,8.0,0.05,0.933,0.8698698698698699
170,8.0,0.1,0.948,0.9009009009009009
171,8.0,0.15000000000000002,0.941,0.8858858858858859
172,8.0,0.2,0.906,0.8218218218218218
173,8.0,0.25,0.821,0.6976976976976977
174,8.0,0.30000000000000004,0.805,0.6666666666666666
175,8.0,0.35000000000000003,0.789,0.6406406406406406
176,8.0,0.4,0.714,0.5355355355355356
177,8.0,0.45,0.745,0.5825825825825826
178,8.0,0.5,0.614,0.42242242242242245
179,8.0,0.55,0.687,0.5005005005005005
180,8.0,0.6000000000000001,0.496,0.33933933933933935
181,8.0,0.65,0.491,0.3073073073073073
182,8.0,0.7000000000000001,0.33,0.2072072072072072
183,8.0,0.75,0.356,0.23523523523523523
184,8.0,0.8,0.289,0.17317317317317318
185,8.0,0.8500000000000001,0.344,0.2222222222222222
186,8.0,0.9,0.297,0.1841841841841842
187,8.0,0.9500000000000001,0.22,0.0920920920920921
188,8.0,1.0,0.284,0.17617617617617617
189,9.0,0.0,0.981,0.963963963963964
190,9.0,0.05,0.947,0.8978978978978979
191,9.0,0.1,0.891,0.7917917917917918
192,9.0,0.15000000000000002,0.924,0.8538538538538538
193,9.0,0.2,0.843,0.7277277277277278
194,9.0,0.25,0.867,0.7547547547547547
195,9.0,0.30000000000000004,0.852,0.7397397397397397
196,9.0,0.35000000000000003,0.788,0.6376376376376376
197,9.0,0.4,0.793,0.6536536536536537
198,9.0,0.45,0.766,0.6076076076076076
199,9.0,0.5,0.702,0.5075075075075075
200,9.0,0.55,0.555,0.4044044044044044
201,9.0,0.6000000000000001,0.474,0.3073073073073073
202,9.0,0.65,0.476,0.2922922922922923
203,9.0,0.7000000000000001,0.415,0.25725725725725723
204,9.0,0.75,0.394,0.27127127127127126
205,9.0,0.8,0.321,0.2042042042042042
206,9.0,0.8500000000000001,0.283,0.16116116116116116
207,9.0,0.9,0.346,0.24224224224224225
208,9.0,0.9500000000000001,0.273,0.15215215215215216
209,9.0,1.0,0.276,0.15415415415415415
